competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,pc1,pc2
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.771712009,0.11678178410544353
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.070769398,-0.322795972
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.021611844291633014,0.8172939255314606
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.772707357,0.21989964239514742
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103694999999995,-0.917991035,0.1594372959524114
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.26850483916644574,0.7827981151073442
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,45.995827,-0.981257051,-0.120903404
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999999,1.352883360006011,-0.191580873
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.4677615200347407,-0.152144682
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.11599999999999999,59.863997999999995,-0.846225203,0.23123848001109953
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.11599999999999999,52.825947,-0.949002398,0.1558670663264945
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.764667274,0.3576364736665625
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995,-0.917873287,-0.119158137
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.252843305,0.2963391599213799
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.19286486680372156,-0.388845088
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,27.303865000000002,-0.487802009,-0.564277235
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.749954062,0.3277758846316765
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651000000004,-0.094870516,-0.632903453
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.5693231352871421,-0.005471637
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,45.736748,0.16346650632399934,0.7092789315683296
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,1.0466789581906522,-0.151036215
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.783314923,0.3643692796968637
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.2234058195373378,-0.265271749
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,45.466282,-0.413842135,-0.429604208
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,39.011897999999995,-0.847696829,-0.870084583
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.856318941,0.1040407481510414
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000003,0.26699999,41.904308,0.10655458872807133,-0.711203774
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.4273933183653136,0.6864166763998046
